"('mid',)","('pid',)"
tt0120188,nm0751102
tt0120201,nm0000682
tt0120338,nm0000116
tt0120347,nm0006854
tt0120363,nm0881279
tt0120363,nm0005124
tt0120363,nm0105169
tt0120382,nm0001837
tt0120484,nm0178997
tt0120586,nm0443411
tt0120587,nm0426333
tt0120587,nm0201509
tt0120591,nm0000881
tt0120601,nm0005069
tt0120611,nm0635759
tt0120616,nm0814085
tt0120623,nm0005124
tt0120623,nm0004056
tt0120630,nm0520485
tt0120630,nm0661910
tt0120632,nm0797869
tt0120647,nm0001460
tt0120655,nm0003620
tt0120657,nm0000341
tt0120657,nm0001532
tt0120660,nm0001716
tt0120663,nm0000040
tt0120667,nm1103162
tt0120669,nm0000416
tt0120681,nm0400441
tt0120681,nm0400436
tt0120685,nm0000386
tt0120689,nm0001104
tt0120735,nm0005363
tt0120737,nm0001392
tt0120744,nm0908824
tt0120746,nm0132709
tt0120755,nm0000247
tt0120762,nm0176905
tt0120762,nm0051643
tt0120768,nm0336620
tt0120783,nm0583600
tt0120784,nm0001338
tt0120789,nm0002657
tt0120794,nm0920425
tt0120794,nm9054338
tt0120794,nm0152312
tt0120804,nm0027271
tt0120812,nm0711840
tt0120815,nm0000229
tt0120855,nm0118333
tt0120855,nm0510674
tt0120863,nm0000517
tt0120873,nm0000829
tt0120888,nm0178997
tt0120889,nm0911910
tt0120890,nm0573796
tt0120891,nm0001756
tt0120902,nm0101385
tt0120903,nm0001741
tt0120912,nm0001756
tt0120915,nm0000184
tt0120917,nm0227540
tt0121164,nm0000318
tt0121164,nm0425843
tt0121765,nm0000184
tt0121766,nm0000184
tt0122151,nm0001149
tt0122690,nm0001239
tt0122933,nm0000601
tt0123755,nm0622112
tt0125439,nm0585011
tt0125664,nm0001232
tt0126029,nm0011470
tt0126029,nm0421776
tt0128442,nm0001093
tt0128445,nm0027572
tt0128853,nm0001188
tt0129167,nm0083348
tt0129290,nm0001723
tt0129387,nm0268380
tt0129387,nm0125803
tt0130827,nm0878756
tt0133093,nm0905152
tt0133093,nm0905154
tt0133152,nm0000318
tt0133240,nm0166256
tt0133240,nm0615780
tt0133751,nm0001675
tt0134084,nm0000127
tt0134119,nm0005237
tt0134273,nm0001708
tt0134847,nm0878638
tt0137494,nm0000750
tt0137523,nm0000399
tt0138097,nm0006960
tt0138704,nm0004716
tt0139134,nm0474955
tt0139654,nm0298807
