"('mid',)","('genre',)"
tt0102138,Thriller
tt0102266,Action
tt0102266,Comedy
tt0102266,Crime
tt0102510,Comedy
tt0102510,Crime
tt0102685,Action
tt0102685,Crime
tt0102685,Thriller
tt0102798,Action
tt0102798,Adventure
tt0102798,Drama
tt0102926,Crime
tt0102926,Drama
tt0102926,Thriller
tt0103064,Action
tt0103064,Sci-Fi
tt0103074,Adventure
tt0103074,Crime
tt0103074,Drama
tt0103639,Adventure
tt0103639,Animation
tt0103639,Comedy
tt0103644,Action
tt0103644,Horror
tt0103644,Sci-Fi
tt0103772,Drama
tt0103772,Mystery
tt0103772,Thriller
tt0103776,Action
tt0103776,Crime
tt0103776,Fantasy
tt0103855,Action
tt0103855,Drama
tt0103855,Music
tt0103874,Drama
tt0103874,Fantasy
tt0103874,Horror
tt0104070,Comedy
tt0104070,Fantasy
tt0104070,Horror
tt0104257,Drama
tt0104257,Thriller
tt0104348,Crime
tt0104348,Drama
tt0104348,Mystery
tt0104431,Adventure
tt0104431,Comedy
tt0104431,Crime
tt0104691,Action
tt0104691,Adventure
tt0104691,Drama
tt0104694,Comedy
tt0104694,Drama
tt0104694,Sport
tt0104714,Action
tt0104714,Crime
tt0104714,Thriller
tt0104952,Comedy
tt0104952,Crime
tt0105112,Action
tt0105112,Thriller
tt0105236,Crime
tt0105236,Drama
tt0105236,Thriller
tt0105323,Drama
tt0105695,Drama
tt0105695,Western
tt0105793,Comedy
tt0105793,Music
tt0106308,Comedy
tt0106308,Horror
tt0106489,Crime
tt0106489,Drama
tt0106519,Crime
tt0106519,Drama
tt0106519,Thriller
tt0106582,Action
tt0106582,Adventure
tt0106582,Thriller
tt0106611,Adventure
tt0106611,Comedy
tt0106611,Family
tt0106677,Comedy
tt0106697,Action
tt0106697,Sci-Fi
tt0106697,Thriller
tt0106856,Action
tt0106856,Crime
tt0106856,Drama
tt0106918,Drama
tt0106918,Mystery
tt0106918,Thriller
tt0106977,Action
tt0106977,Crime
tt0106977,Drama
tt0107048,Comedy
tt0107048,Drama
tt0107048,Fantasy
tt0107120,Comedy
tt0107120,Family
tt0107120,Fantasy
tt0107206,Action
tt0107206,Crime
tt0107206,Drama
tt0107207,Biography
tt0107207,Crime
tt0107207,Drama
tt0107290,Action
tt0107290,Adventure
tt0107290,Sci-Fi
tt0107362,Action
tt0107362,Adventure
tt0107362,Comedy
tt0107614,Comedy
tt0107614,Drama
tt0107688,Animation
tt0107688,Family
tt0107688,Fantasy
tt0107818,Drama
tt0107977,Adventure
tt0107977,Comedy
tt0107977,Musical
tt0108052,Biography
tt0108052,Drama
tt0108052,History
tt0108160,Comedy
tt0108160,Drama
tt0108160,Romance
tt0108358,Action
tt0108358,Biography
tt0108358,Drama
tt0108399,Crime
tt0108399,Drama
tt0108399,Romance
tt0108550,Drama
tt0109040,Comedy
tt0109445,Comedy
tt0109506,Action
tt0109506,Fantasy
tt0109506,Thriller
tt0109686,Comedy
tt0109707,Biography
tt0109707,Comedy
tt0109707,Drama
tt0109830,Drama
tt0109830,Romance
tt0109831,Comedy
tt0109831,Drama
tt0109831,Romance
tt0110148,Drama
tt0110148,Fantasy
tt0110148,Horror
tt0110322,Drama
tt0110322,Romance
tt0110322,War
tt0110357,Adventure
tt0110357,Animation
tt0110357,Drama
tt0110413,Action
tt0110413,Crime
tt0110413,Drama
tt0110475,Action
tt0110475,Comedy
tt0110475,Crime
tt0110478,Action
tt0110478,Adventure
tt0110478,Comedy
tt0110622,Comedy
tt0110622,Crime
tt0110632,Action
tt0110632,Crime
tt0110632,Drama
tt0110912,Crime
tt0110912,Drama
tt0111070,Comedy
tt0111070,Drama
tt0111070,Family
tt0111161,Drama
tt0111257,Action
tt0111257,Adventure
tt0111257,Thriller
tt0111282,Action
tt0111282,Adventure
tt0111282,Sci-Fi
tt0111495,Drama
tt0111495,Mystery
tt0111495,Romance
tt0111503,Action
tt0111503,Comedy
tt0111503,Thriller
tt0112281,Adventure
tt0112281,Comedy
tt0112281,Crime
tt0112384,Adventure
tt0112384,Drama
tt0112384,History
tt0112431,Comedy
tt0112431,Drama
tt0112431,Family
tt0112442,Action
tt0112442,Comedy
tt0112442,Crime
tt0112461,Biography
tt0112461,Crime
tt0112461,Drama
tt0112462,Action
tt0112462,Adventure
tt0112471,Drama
tt0112471,Romance
tt0112508,Comedy
tt0112573,Biography
tt0112573,Drama
tt0112573,History
tt0112641,Crime
tt0112641,Drama
tt0112642,Comedy
tt0112642,Family
tt0112642,Fantasy
tt0112697,Comedy
tt0112697,Romance
tt0112740,Action
tt0112740,Drama
tt0112740,Thriller
tt0112851,Action
tt0112851,Crime
tt0112851,Thriller
tt0112864,Action
tt0112864,Adventure
tt0112864,Thriller
tt0113101,Comedy
tt0113118,Comedy
tt0113118,Drama
tt0113189,Action
tt0113189,Adventure
tt0113189,Thriller
tt0113247,Crime
tt0113247,Drama
tt0113277,Action
tt0113277,Crime
tt0113277,Drama
tt0113492,Action
tt0113492,Crime
tt0113492,Sci-Fi
tt0113497,Adventure
tt0113497,Comedy
tt0113497,Family
tt0113568,Action
tt0113568,Animation
tt0113568,Crime
tt0113627,Drama
tt0113627,Romance
tt0113749,Comedy
tt0113749,Romance
tt0113855,Action
tt0113855,Adventure
tt0113855,Fantasy
tt0114069,Action
tt0114069,Drama
tt0114069,Thriller
tt0114148,Adventure
tt0114148,Animation
tt0114148,Drama
tt0114369,Crime
tt0114369,Drama
tt0114369,Mystery
tt0114388,Drama
tt0114388,Romance
tt0114709,Adventure
tt0114709,Animation
tt0114709,Comedy
tt0114746,Mystery
tt0114746,Sci-Fi
tt0114746,Thriller
tt0114814,Crime
tt0114814,Drama
tt0114814,Mystery
tt0114898,Action
tt0114898,Adventure
tt0114898,Sci-Fi
tt0114924,Comedy
tt0114924,Drama
tt0114924,Romance
tt0115433,Adventure
tt0115433,Comedy
tt0115433,Crime
tt0115798,Comedy
tt0115798,Drama
tt0115798,Thriller
tt0116209,Drama
tt0116209,Romance
tt0116209,War
tt0116213,Action
tt0116213,Crime
