"('mid',)","('titleType',)","('primaryTitle',)","('originalTitle',)","('isAdult',)","('startYear',)","('endYear',)","('runtimeMinutes',)"
tt0109831,movie,Four Weddings and a Funeral,Four Weddings and a Funeral,0,1994,,117
tt0110148,movie,Interview with the Vampire: The Vampire Chronicles,Interview with the Vampire: The Vampire Chronicles,0,1994,,123
tt0110322,movie,Legends of the Fall,Legends of the Fall,0,1994,,133
tt0110357,movie,The Lion King,The Lion King,0,1994,,88
tt0110413,movie,Léon: The Professional,Léon,0,1994,,110
tt0110475,movie,The Mask,The Mask,0,1994,,101
tt0110478,movie,Maverick,Maverick,0,1994,,127
tt0110622,movie,Naked Gun 33 1/3: The Final Insult,Naked Gun 33 1/3: The Final Insult,0,1994,,83
tt0110632,movie,Natural Born Killers,Natural Born Killers,0,1994,,119
tt0110912,movie,Pulp Fiction,Pulp Fiction,0,1994,,154
tt0111070,movie,The Santa Clause,The Santa Clause,0,1994,,97
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,1994,,142
tt0111257,movie,Speed,Speed,0,1994,,116
tt0111282,movie,Stargate,Stargate,0,1994,,116
tt0111495,movie,Three Colors: Red,Trois couleurs: Rouge,0,1994,,99
tt0111503,movie,True Lies,True Lies,0,1994,,141
tt0112281,movie,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls,0,1995,,90
tt0112384,movie,Apollo 13,Apollo 13,0,1995,,140
tt0112431,movie,Babe,Babe,0,1995,,91
tt0112442,movie,Bad Boys,Bad Boys,0,1995,,119
tt0112461,movie,The Basketball Diaries,The Basketball Diaries,0,1995,,102
tt0112462,movie,Batman Forever,Batman Forever,0,1995,,121
tt0112471,movie,Before Sunrise,Before Sunrise,0,1995,,101
tt0112508,movie,Billy Madison,Billy Madison,0,1995,,89
tt0112573,movie,Braveheart,Braveheart,0,1995,,178
tt0112641,movie,Casino,Casino,0,1995,,178
tt0112642,movie,Casper,Casper,0,1995,,100
tt0112697,movie,Clueless,Clueless,0,1995,,97
tt0112740,movie,Crimson Tide,Crimson Tide,0,1995,,116
tt0112851,movie,Desperado,Desperado,0,1995,,104
tt0112864,movie,Die Hard with a Vengeance,Die Hard: With a Vengeance,0,1995,,128
tt0113101,movie,Four Rooms,Four Rooms,0,1995,,98
tt0113118,movie,Friday,Friday,0,1995,,91
tt0113189,movie,GoldenEye,GoldenEye,0,1995,,130
tt0113247,movie,La Haine,La haine,0,1995,,98
tt0113277,movie,Heat,Heat,0,1995,,170
tt0113492,movie,Judge Dredd,Judge Dredd,0,1995,,96
tt0113497,movie,Jumanji,Jumanji,0,1995,,104
tt0113568,movie,Ghost in the Shell,Kôkaku Kidôtai,0,1995,,83
tt0113627,movie,Leaving Las Vegas,Leaving Las Vegas,0,1995,,111
tt0113749,movie,Mallrats,Mallrats,0,1995,,94
tt0113855,movie,Mortal Kombat,Mortal Kombat,0,1995,,101
tt0114069,movie,Outbreak,Outbreak,0,1995,,127
tt0114148,movie,Pocahontas,Pocahontas,0,1995,,81
tt0114369,movie,Se7en,Se7en,0,1995,,127
