"('pid',)","('mid',)"
nm0000347,tt0073629
nm0000347,tt0099810
nm0000348,tt0053291
nm0000348,tt0054331
nm0000349,tt1659337
nm0000350,tt0097958
nm0000350,tt0085995
nm0000350,tt0120586
nm0000352,tt0093058
nm0000352,tt0109707
nm0000352,tt0119654
nm0000352,tt0209958
nm0000353,tt5649144
nm0000353,tt0145487
nm0000353,tt7984734
nm0000354,tt0134119
nm0000354,tt0119217
nm0000354,tt3659388
nm0000354,tt0407887
nm0000358,tt0443272
nm0000358,tt0217505
nm0000358,tt0469494
nm0000358,tt0104691
nm0000361,tt0094226
nm0000362,tt0117008
nm0000362,tt0103776
nm0000365,tt0112471
nm0000365,tt0381681
nm0000366,tt0168629
nm0000367,tt0120744
nm0000368,tt0107290
nm0000368,tt2305051
nm0000368,tt0090756
nm0000368,tt7653254
nm0000369,tt0129387
nm0000369,tt0375679
nm0000372,tt0119528
nm0000374,tt0167261
nm0000374,tt0087182
nm0000374,tt0073486
nm0000375,tt1300854
nm0000375,tt0988045
nm0000375,tt4154796
nm0000375,tt0371746
nm0000377,tt0073195
nm0000377,tt0075860
nm0000378,tt0119217
nm0000379,tt1527186
nm0000379,tt0145487
nm0000379,tt0110148
nm0000380,tt0078788
nm0000380,tt0068646
nm0000381,tt0443706
nm0000381,tt0092099
nm0000383,tt1790885
nm0000384,tt0121164
nm0000384,tt0119654
nm0000384,tt0107688
nm0000384,tt0367594
nm0000385,tt1517451
nm0000385,tt0118715
nm0000386,tt1628841
nm0000386,tt0120685
nm0000386,tt0319262
nm0000386,tt0116629
nm0000387,tt0329101
nm0000387,tt0087800
nm0000388,tt0324216
nm0000388,tt0114369
nm0000388,tt0093058
nm0000390,tt0103772
nm0000391,tt0119738
nm0000397,tt0093437
nm0000397,tt0092005
nm0000397,tt0089218
nm0000398,tt0109830
nm0000398,tt0443272
nm0000399,tt1285016
nm0000399,tt0443706
nm0000399,tt0114369
nm0000399,tt2267998
nm0000400,tt0120655
nm0000400,tt0119654
nm0000401,tt0234215
nm0000401,tt1598778
nm0000401,tt0327056
nm0000401,tt0133093
nm0000402,tt2527336
nm0000402,tt0080684
nm0000402,tt0086190
nm0000402,tt0076759
nm0000408,tt0117731
nm0000409,tt0375679
nm0000409,tt0120616
nm0000409,tt0209163
nm0000411,tt0103064
nm0000411,tt0990407
nm0000411,tt0120586
nm0000412,tt0099674
nm0000412,tt0349903
nm0000412,tt0240772
nm0000414,tt0084805
nm0000414,tt0075860
nm0000414,tt0072431
nm0000415,tt0093437
nm0000415,tt0088128
nm0000415,tt0117998
nm0000416,tt0088846
nm0000416,tt1054606
nm0000416,tt0085959
nm0000416,tt0071853
nm0000417,tt0088763
nm0000418,tt1190080
nm0000418,tt0093409
nm0000418,tt0104714
nm0000418,tt0122151
nm0000420,tt0095953
nm0000420,tt0102059
nm0000421,tt0114069
nm0000421,tt0116695
nm0000421,tt0203019
nm0000422,tt1907668
nm0000422,tt1024648
nm0000422,tt1179933
nm0000422,tt0101410
nm0000424,tt0276751
nm0000424,tt0314331
nm0000424,tt0109831
nm0000424,tt0125439
nm0000426,tt0091042
nm0000426,tt0092890
nm0000427,tt0116996
nm0000427,tt0119396
nm0000430,tt0087928
nm0000431,tt0350258
nm0000432,tt0105695
nm0000432,tt0265666
nm0000432,tt0067116
nm0000432,tt0071360
nm0000433,tt0093437
nm0000434,tt0076759
nm0000434,tt0080684
nm0000434,tt0086190
nm0000434,tt2527336
nm0000435,tt0094291
nm0000435,tt0378194
nm0000435,tt0266697
nm0000436,tt0119488
nm0000436,tt0298203
nm0000437,tt0110632
nm0000437,tt1156398
nm0000438,tt0112384
nm0000438,tt0120382
nm0000439,tt2267998
nm0000439,tt0120201
nm0000441,tt0088323
nm0000442,tt0401792
nm0000442,tt0083658
nm0000445,tt0114814
nm0000445,tt0166924
nm0000445,tt0112697
nm0000446,tt0079522
nm0000448,tt0090605
nm0000448,tt0370263
nm0000450,tt1560747
nm0000450,tt0472062
nm0000450,tt0379725
nm0000450,tt0292963
nm0000451,tt0097351
nm0000452,tt0109686
nm0000452,tt0207201
nm0000453,tt0120681
nm0000453,tt0120737
nm0000453,tt0167260
nm0000453,tt0382932
nm0000454,tt0064276
nm0000454,tt0090756
nm0000454,tt0114898
nm0000454,tt0111257
nm0000455,tt0091042
nm0000455,tt0093748
nm0000456,tt3606756
nm0000457,tt0080678
nm0000457,tt1340800
nm0000457,tt0078748
nm0000458,tt0399146
nm0000459,tt0343737
nm0000460,tt2975590
nm0000460,tt0110357
nm0000460,tt2094766
nm0000461,tt0120201
nm0000461,tt0092099
nm0000461,tt0100802
nm0000463,tt0113189
nm0000463,tt0120903
nm0000463,tt0376994
nm0000464,tt0412019
nm0000466,tt0211915
nm0000469,tt3748528
nm0000469,tt0094898
nm0000469,tt0099810
nm0000469,tt6105098
nm0000470,tt0091042
nm0000470,tt0109707
nm0000470,tt0086879
nm0000471,tt0101272
nm0000473,tt0337741
nm0000473,tt0075686
nm0000474,tt1895587
nm0000474,tt4276820
nm0000474,tt2562232
nm0000474,tt0096895
nm0000475,tt0097733
nm0000483,tt0091203
nm0000483,tt0113855
nm0000484,tt0080455
nm0000485,tt0017136
nm0000485,tt0022100
nm0000486,tt0087800
nm0000487,tt0454876
nm0000487,tt0190332
nm0000487,tt0388795
nm0000488,tt0109506
nm0000489,tt0120737
nm0000489,tt0167261
nm0000489,tt0121765
nm0000491,tt0117509
nm0000491,tt0203009
nm0000492,tt3460252
nm0000493,tt0104348
nm0000493,tt0053604
nm0000493,tt0053291
nm0000494,tt0097165
